"message","label"
"Dear customer, unusual activity was detected on your account. Verify now at http://secure-account-check-login.net to avoid suspension.","scam"
"Your bank profile is locked. Confirm your identity immediately using this link: http://bank-verify-update.info","scam"
"Security Team Alert: your account will be closed today unless you re-activate at http://account-recovery-safe.com","scam"
"We noticed a failed login. Please verify your banking details urgently at http://safe-verification-center.net","scam"
"Important: your account has been suspended. Restore access now at http://restore-account-fast.org","scam"
"Dear user, confirm your account information within 24 hours to avoid permanent closure.","scam"
"Your banking app access is restricted. Verify your identity now to unlock.","scam"
"Account warning: unusual transfer detected. Login and verify immediately at http://urgent-secure-check.com","scam"
"We are from customer security. Your account is at risk, submit verification code now.","scam"
"Final warning: account locked for suspicious activity. Verify now.","scam"
"HSBC Security: Enter the OTP we sent to keep your account active.","scam"
"Barclays alert: share your one time password to cancel fraudulent payment.","scam"
"NatWest fraud team: provide your verification code immediately.","scam"
"Santander notice: confirm login code to prevent account freeze.","scam"
"Lloyds update: reply with OTP to complete secure validation.","scam"
"Your passcode is required now to stop unauthorized access.","scam"
"Bank support: confirm your password and OTP right away.","scam"
"Urgent banking verification: send one-time code to security desk.","scam"
"Security alert: respond with PIN now to avoid card block.","scam"
"Your online banking code is needed immediately.","scam"
"Royal Mail: your parcel could not be delivered. Pay 1.99 GBP at http://rm-redelivery-help.info","scam"
"Evri: package is on hold. Pay small fee now at http://evri-track-pay.co","scam"
"DPD notice: reschedule delivery by paying 2.15 GBP here http://dpd-delivery-fix.net","scam"
"Parcel pending due to address issue. Confirm payment at http://parcel-release-check.com","scam"
"Your package will be returned unless you pay the delivery fee now.","scam"
"Tracking suspended. Complete redelivery payment using the secure link.","scam"
"HMRC: you are eligible for a tax refund. Claim now at http://hmrc-refund-fast.co.uk","scam"
"HMRC notice: unpaid tax detected. Legal action in 24 hours unless you pay.","scam"
"Government tax office: submit payment today to avoid prosecution.","scam"
"Tax alert: your refund is waiting, verify bank details now.","scam"
"Final HMRC warning: settle outstanding tax immediately.","scam"
"We have a simple online job. Earn 300 GBP daily from home, no experience required.","scam"
"Earn 50 GBP per hour by liking videos. Join our Telegram group now.","scam"
"Remote task vacancy available. Registration fee required before starting.","scam"
"Part-time online role: complete easy tasks and get paid instantly.","scam"
"You are selected for a high-paying remote job, pay training fee to begin.","scam"
"Work from home opportunity, guaranteed income every day, message now.","scam"
"Like and subscribe task job, weekly payout, join WhatsApp group.","scam"
"Online job offer: salary setup pending after deposit payment.","scam"
"No resume needed, click this app link and start earning immediately.","scam"
"HR selected you for easy tasks with high weekly pay.","scam"
"Bitcoin investment alert: double your money in 7 days.","scam"
"Crypto signal group guarantees daily profit, deposit 250 GBP today.","scam"
"Join our private trading group for guaranteed returns.","scam"
"Limited investment slot available, transfer funds now.","scam"
"Insider crypto opportunity, profit is guaranteed.","scam"
"Fund this wallet to activate premium market signals.","scam"
"Your funds will triple this week with our strategy.","scam"
"Your phone is hacked. Send 100 pounds immediately to secure your device.","scam"
"Device infected with malware. Download this security update now.","scam"
"Your camera was compromised. Pay release fee to prevent leak.","scam"
"System alert: install attached APK to clean your phone.","scam"
"Critical threat detected on your device, act now or lose data.","scam"
"Your account hacked, transfer payment to recover it quickly.","scam"
"Mum I lost my phone, this is my new number. I need 500 pounds urgently.","scam"
"Dad I am in hospital and cannot talk, please send money now.","scam"
"Hi son, emergency here, can you transfer funds immediately.","scam"
"I am stuck abroad and need urgent help with payment.","scam"
"Please do not tell anyone, I need cash right now.","scam"
"Hey, I trust you, can you loan me money today.","scam"
"I miss you, I want to visit you but I need money for ticket first.","scam"
"I love you and want a future with you, can you send support funds.","scam"
"My account is frozen overseas, please transfer emergency help.","scam"
"I need a small payment to process my travel documents.","scam"
"Room available near campus. Send 300 GBP deposit before viewing.","scam"
"Rental listing confirmed. Pay deposit now to secure keys.","scam"
"Landlord request: bank transfer first due to high demand.","scam"
"Apartment can be reserved only after upfront payment.","scam"
"Accommodation offer: contract starts after deposit transfer.","scam"
"Netflix: payment failed, update billing details at http://netflix-renew-billing.support","scam"
"Spotify subscription expired. Confirm card details immediately.","scam"
"Amazon Prime renewal failed, pay now to avoid suspension.","scam"
"Instagram Support: account will be deleted. Verify login at http://insta-help-center.example","scam"
"Facebook security: confirm password to recover your page.","scam"
"Loan approved for 5000 GBP. Pay 75 GBP admin fee to release funds.","scam"
"Instant cash loan guaranteed, transfer processing fee now.","scam"
"Marketplace buyer interested, but pay transfer insurance fee first.","scam"
"I can reserve the item, send payment by bank transfer first.","scam"
"PayPal security: unusual sign-in. Click link to confirm or account closes.","scam"
"Apple ID locked. Verify billing at http://apple-id-secure.example","scam"
"Hi, are we still meeting at 3pm tomorrow?","safe"
"I am leaving work now, see you in 20 minutes.","safe"
"Your table for 2 is confirmed at 7:30pm tonight.","safe"
"Your GP appointment is tomorrow at 09:40. Reply YES to confirm.","safe"
"University seminar moved to Friday at 11:00 in Hall 3.","safe"
"Please bring your ID card for tomorrow's office check-in.","safe"
"Family dinner at 8pm, can you pick up bread on your way?","safe"
"The team meeting starts at 10am in Meeting Room B.","safe"
"Your parcel is delayed. Please check status in your previous official app notification.","safe"
"Can we reschedule our call to Monday afternoon?","safe"
"Your restaurant booking for 4 guests is confirmed.","safe"
"Reminder: project deadline is next Tuesday.","safe"
"Client support ticket has been resolved. Thank you for your patience.","safe"
"Your electricity bill statement is ready in your customer portal.","safe"
"Please upload the final report before 5pm.","safe"
"Dad, I reached home safely.","safe"
"Mum, I will call you after class.","safe"
"Your dental appointment is at 2:30pm tomorrow.","safe"
"Bus replacement service starts at 6am due to maintenance.","safe"
"The lecture has moved online this week.","safe"
"Can you send me the meeting notes when you are free?","safe"
"Your order is out for delivery and should arrive today.","safe"
"Your support request has been updated by our team.","safe"
"Please review the attached agenda for tomorrow's workshop.","safe"
"Shift change approved. You are now on duty Saturday morning.","safe"
"Lunch at 1pm near the library?","safe"
"Your account profile was updated successfully in the official app.","safe"
"We noticed a login from your new device. If this was you, no action is needed.","safe"
"Thanks for your message, I will respond after my meeting.","safe"
"Class is cancelled today due to staff training.","safe"
"Coffee catch-up Thursday at 11? Same place as last time.","safe"
"Reminder: flu jab clinic is next Wednesday in the health centre.","safe"
"Your optician appointment reminder for next Monday at 10:15.","safe"
"Library books are due back this Friday. Renew in the app if needed.","safe"
"Sports hall closed for cleaning Saturday morning only.","safe"
"Exam timetable published on the student portal.","safe"
"Friday rota: you are on early shift 06:00 to 14:00.","safe"
"Next week I am on late shift Tuesday and Thursday.","safe"
"Handover notes are in the shared folder for Monday.","safe"
"Stand-up at 9:30 as usual, no prep required.","safe"
"Table for six booked under the name Morgan, 8pm Saturday.","safe"
"We have your reservation; please arrive five minutes early.","safe"
"Your takeaway order is being prepared for collection at 18:45.","safe"
"Delivery driver is two stops away; no action needed.","safe"
"Package left in porch as requested. Signature not required.","safe"
"Expected delivery window today between 14:00 and 16:00.","safe"
"Your subscription renews next month. Manage preferences in settings.","safe"
"Streaming plan unchanged. No billing changes this cycle.","safe"
"Magazine subscription: next issue ships on the usual date.","safe"
"Gym membership auto-renewal reminder in your member area only.","safe"
"For account questions, use the official app or branch finder on our website.","safe"
"Statement available: view in online banking when convenient.","safe"
"Card ending 1234 was used at a shop. If this was you, ignore this message.","safe"
"Low balance alert: you can top up via the app or ATM.","safe"
"We will never ask for your full PIN by text.","safe"
"Password reset requested from your device. Ignore if not you.","safe"
"Hi Sam, film still on for Sunday?","safe"
"Thanks for yesterday, had a great time.","safe"
"Running ten minutes late, start without me.","safe"
"Pick up milk on the way home if you pass a shop.","safe"
